VCD info: dumpfile dump.vcd opened for output.
The following test output is of the following format:

OPERATOR | DESTINATION REGISTER LOCATION IN BITS | DATA1 REGISTER LOCATION IN BITS | DATA2 REGISTER LOCATION IN BITS
LOAD | 0000 | 0000 | 0010
LOAD | 0001 | 0000 | 0011
LOAD | 0111 | 0000 | 1111
ADD | 0010 | 0000 | 0001
MOV | 0000 | 0001 | 0000
MOV | 0001 | 0010 | 0000
JMP | 0011 | 1100 | 0000
ADD | 0010 | 0000 | 0001
MOV | 0000 | 0001 | 0000
MOV | 0001 | 0010 | 0000
JMP | 0011 | 1100 | 0000
ADD | 0010 | 0000 | 0001
MOV | 0000 | 0001 | 0000
MOV | 0001 | 0010 | 0000
JMP | 0011 | 1100 | 0000
ADD | 0010 | 0000 | 0001
MOV | 0000 | 0001 | 0000
MOV | 0001 | 0010 | 0000
JMP | 0011 | 1100 | 0000
ADD | 0010 | 0000 | 0001
MOV | 0000 | 0001 | 0000
MOV | 0001 | 0010 | 0000
JMP | 0011 | 1100 | 0000
ADD | 0010 | 0000 | 0001
MOV | 0000 | 0001 | 0000
MOV | 0001 | 0010 | 0000
JMP | 0011 | 1100 | 0000
WRITE | 0000 | 0001 | 0100
HALT | 0101 | 1001 | 0111
HALT | 0101 | 1001 | 0111
HALT | 0101 | 1001 | 0111
HALT | 0101 | 1001 | 0111
HALT | 0101 | 1001 | 0111
HALT | 0101 | 1001 | 0111
HALT | 0101 | 1001 | 0111
HALT | 0101 | 1001 | 0111
HALT | 0101 | 1001 | 0111
HALT | 0101 | 1001 | 0111
HALT | 0101 | 1001 | 0111




The following test output is of the following format:

OPERATOR | DESTINATION REGISTER LOCATION IN BITS | DATA1 REGISTER INFO | DATA2 REGISTER INFO | RESULT | RESULT IN DECIMAL
Note that non-calculating steps such as HALT and JMP have default result values of 0. The result of LOAD MOV is the data that has been transferred/moved

LOAD | 0000 | 0000 | 0010 | 0000 |  0
LOAD | 0001 | 0000 | 0011 | 0001 |  1
LOAD | 0111 | 0000 | 0110 | 0011 |  3
ADD | 0010 | 0000 | 0001 | 0001 |  1
MOV | 0000 | 0001 | 0000 | 0001 |  1
MOV | 0001 | 0001 | 0001 | 0001 |  1
JMP | 0011 | 0100 | 0001 | 0000 |  0
ADD | 0010 | 0001 | 0001 | 0010 |  2
MOV | 0000 | 0001 | 0001 | 0001 |  1
MOV | 0001 | 0010 | 0001 | 0010 |  2
JMP | 0011 | 0100 | 0001 | 0000 |  0
ADD | 0010 | 0001 | 0010 | 0011 |  3
MOV | 0000 | 0010 | 0001 | 0010 |  2
MOV | 0001 | 0011 | 0010 | 0011 |  3
JMP | 0011 | 0100 | 0010 | 0000 |  0
ADD | 0010 | 0010 | 0011 | 0101 |  5
MOV | 0000 | 0011 | 0010 | 0011 |  3
MOV | 0001 | 0101 | 0011 | 0101 |  5
JMP | 0011 | 0100 | 0011 | 0000 |  0
ADD | 0010 | 0011 | 0101 | 1000 |  8
MOV | 0000 | 0101 | 0011 | 0101 |  5
MOV | 0001 | 1000 | 0101 | 1000 |  8
JMP | 0011 | 0100 | 0101 | 0000 |  0
ADD | 0010 | 0101 | 1000 | 1101 | 13
MOV | 0000 | 1000 | 0101 | 1000 |  8
MOV | 0001 | 1101 | 1000 | 1101 | 13
JMP | 0011 | 0100 | 1000 | 0000 |  0
WRITE | 0000 | 1101 | 0100 | 1101 | 13
HALT | 0101 | 1001 | 0011 | 0000 |  0
HALT | 0101 | 1001 | 0011 | 0000 |  0
HALT | 0101 | 1001 | 0011 | 0000 |  0
HALT | 0101 | 1001 | 0011 | 0000 |  0
HALT | 0101 | 1001 | 0011 | 0000 |  0
HALT | 0101 | 1001 | 0011 | 0000 |  0
HALT | 0101 | 1001 | 0011 | 0000 |  0
HALT | 0101 | 1001 | 0011 | 0000 |  0
HALT | 0101 | 1001 | 0011 | 0000 |  0
HALT | 0101 | 1001 | 0011 | 0000 |  0
HALT | 0101 | 1001 | 0011 | 0000 |  0
testbench.sv:122: $finish called at 1000000 (1ps)
Done
